Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Bob Netolicky,,8.3,8.2,7.5,7.4,5.6,4.9,4.1,2.1,0,NA,NA,NA
Wally Szczerbiak,90.7,8.7,8,7.4,7.3,6.2,5.2,4.5,2.9,1.6,1.6,NA,NA
Derrick Favors,89.1,8.3,8,7.9,7.1,5.1,4.4,3,2.9,2.7,NA,NA,NA
Jim McMillian,87.8,8.9,7.9,7.8,6.4,6,3.4,2.6,2.5,0.5,NA,NA,NA
Bob Love,87.7,9.9,8.6,7.5,6.3,5.8,5.2,4.5,1,1,0.6,0.2,NA
Troy Murphy,87.1,8.5,7.8,6.5,6.4,6.2,5.3,4.5,1.7,1.4,1.3,0.3,0.3
Rodney McCray,87.0,9.4,8.5,7.9,7.6,6.3,5.3,4.6,2.9,2.5,0.9,NA,NA
Danny Granger,86.3,8,7.3,6.9,6.7,6.5,6.2,5.1,1.3,0.6,-0.1,NA,NA
Cincinnatus Powell,85.9,8.1,7,6.8,6.4,5.4,4.3,3,0.1,NA,NA,NA,NA
Sean Elliott,85.6,8.8,8.7,8.4,7.7,6.1,4.6,3.5,3,1.5,1.4,1.4,0.5
Danilo Gallinari,85.5,8.2,7.2,6.8,6.3,6.1,5.6,3.9,3.9,1.2,1,NA,NA
