Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Joe Barry Carroll,,7,5.7,5.5,4.7,4.6,3.4,2.3,1.6,0.7,0
Roy Hibbert,88.9,6.2,6.1,5.4,4.2,4.1,3.6,2.2,2.1,1.8,NA
Ervin Johnson,88.5,6.4,5.2,5.1,4.9,3.9,3,2.3,1.9,1.3,0.7
Olden Polynice,88.3,6.7,5.3,5.2,5.1,4.5,3.3,2.6,2.5,1.6,1.5
Steve Hawes,85.3,6.1,6,5.7,5.4,3.4,3.2,2.5,1.9,1.8,1
Robin Lopez,85.0,9.5,5.8,5.6,5.1,4.3,3.2,2.1,1.9,1.5,1.1
Wayne Embry,84.8,6.7,6.3,5.6,4.5,3.4,2,1.9,1.5,1.2,1.1
Mark West,84.7,8.2,6.5,5.5,3.9,3.4,3.1,1.9,1.1,0.9,-0.1
Darryl Dawkins,84.5,7.9,6.4,6.3,5.7,4.6,4,2.9,2.1,2.1,0.1
Jim Fox,83.9,6.6,6.4,6.1,5.6,4.6,3.9,3.4,2.4,2.2,0.6
Danny Schayes,83.9,8.8,6.8,5.6,4.6,4.5,3.9,2.8,2,1.7,1.2
