,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
2017-18,22,MIL,NBA,32:26,7,15,2,7,6,8,4,6,4,9,11,2,2,3,2,4,17,16.3
Career,,,,32:26,7,15,2,7,6,8,4,6,4,9,11,2,2,3,2,4,17,16.3
