Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Jabari Parker,,4,3.6,1.4,1.3,1.2,NA,NA,NA
Dave Budd,85.7,4.1,3.2,2.3,1.2,0.9,NA,NA,NA
T.J. Warren,85.2,4.1,3.4,2.2,2.1,1.1,NA,NA,NA
Bill Garnett,82.7,3.9,3.5,2,1.5,NA,NA,NA,NA
Stacey King,82.2,3.6,3.1,1.9,1.5,0.9,0.1,0,-0.2
Dwight Davis,81.0,3.7,3.3,2.3,1.5,0.6,NA,NA,NA
Linas Kleiza,80.4,4.7,3.6,2.8,1.5,1.2,0.1,-0.3,NA
Andrew Wiggins,79.9,4.2,4.1,2.1,2.1,0.6,NA,NA,NA
Mike O'Koren,78.6,4.1,3.8,2,1.9,1.5,1.2,0.1,-0.1
Darren Daye,78.5,3.8,2.4,1.3,1.2,0.6,NA,NA,NA
Anthony Bonner,78.4,4.1,2.4,1.8,1.6,0.7,0,NA,NA
