Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Henry Ellenson,,0.4,0.1,-0.2,NA
Eddie Mast,79.3,0.4,0.1,-0.2,NA
Justin Reed,54.4,0.4,0.3,-0.2,NA
Riney Lochmann,50.4,0.4,0.3,-0.2,NA
William Franklin,47.7,0.3,0.1,-0.2,NA
Anthony Frederick,42.0,0.5,0.2,0,NA
Josh Huestis,40.2,0.5,0.2,0,NA
Ken Durrett,35.3,0.5,0.1,0,0
Devin Ebanks,33.0,0.4,0.3,-0.1,NA
Scooter McCray,29.8,0.3,0.1,0,NA
Okaro White,26.7,0.6,0.2,0,NA
