Season,Team,Lg,Salary
1987-88,Boston Celtics,NBA,"$75,000"
1988-89,Boston Celtics,NBA,"$380,000"
1990-91,Milwaukee Bucks,NBA,"$1,275,000"
1991-92,Milwaukee Bucks,NBA,"$1,377,000"
1992-93,Milwaukee Bucks,NBA,"$583,000"
1993-94,Milwaukee Bucks,NBA,"$958,000"
1994-95,Miami Heat,NBA,"$325,000"
1995-96,San Antonio Spurs,NBA,"$485,000"
Career,(may be incomplete),,"$5,458,000"
