Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Joel Freeland,,1.6,1.4,0.2,NA
Mickaël Gelabale,94.9,1.5,1.3,0.2,NA
Rudy Macklin,88.4,1.8,1.4,0.1,NA
Skal Labissière,86.1,1.4,1.3,0.3,NA
Tom Workman,84.4,1.4,1.3,0.4,0.1
Kenny Battle,83.2,1.9,1.3,0.3,0.1
Derrick Chievous,81.2,1.6,1.2,-0.1,NA
Jon Brockman,80.0,1.9,1.7,0.1,NA
Jan Veselý,78.1,1.7,1.6,0.7,NA
Chris McNealy,76.6,1.6,0.8,0.2,NA
Hank Whitney,76.2,1.8,1.1,0.5,NA
