Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Donnie Freeman,,9.9,9.7,8.9,7.6,7.3,5.1,3.7,3.4,2.4
Dan Majerle,93.0,9.8,9.8,7.7,7.3,7.2,5.5,5.5,3.5,2.5
Joe Dumars,92.7,9.9,9.1,8.7,8.2,7,5.9,4.4,4.2,3.2
Derek Harper,92.3,9.9,9.4,9.1,8,7.6,6.2,5.4,3.5,1.3
Dick Van Arsdale,92.0,10.4,10.2,9,8.7,7,5.6,5.2,3.8,2.6
Lenny Wilkens,91.3,10.1,9,8.1,7.6,7.6,5,4.9,4,0.4
Walter Davis,91.0,10.1,9.4,8.3,8.1,7.1,6.2,4.2,2.7,0.6
Steve Smith,89.9,10.4,10.2,9.1,8.1,7.9,7.8,4.4,3.5,1.5
Rod Strickland,89.9,9.3,8.8,8.5,7.4,7.1,5.7,5.2,4.3,3.7
Kevin Martin,89.8,10.2,9.5,8.4,7,5.5,4.7,4.2,3.3,0.1
Baron Davis,89.4,8.9,8.7,8.2,7.5,6.4,4.5,4.4,4.4,2.1
