,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,23,MNM,ABA,,14,,0,,,,13,15,,,,,,,,,30
1968-69,24,MMF,ABA,,12,,0,,,,9,10,,,,,,,,,33
1970-71,26,TOT,ABA,,14,,0,,,,6,6,,,,,,,,,33
1970-71,26,TEX,ABA,,14,,0,,,,6,6,,,,,,,,,33
1971-72,27,DLC,ABA,,15,,0,,,,6,11,,,,,,,,,36
1972-73,28,INA,ABA,,14,,0,,,,11,12,,,,,,,,,31
1973-74,29,INA,ABA,,9,,0,,,,6,8,,,,,,,,,18
1974-75,30,SAA,ABA,,9,,0,,,,4,4,,,,,,,,,19
Career,,,,,15,,0,,,,13,15,,,,,,,,,36
2 Seasons,,INA,ABA,,14,,0,,,,11,12,,,,,,,,,31
2 Seasons,,"MMF,MNM",ABA,,14,,0,,,,13,15,,,,,,,,,33
3 Seasons,,"DLC,SAA,TEX",ABA,,15,,0,,,,6,11,,,,,,,,,36
