Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1989-90,24,SAS,NBA,C,1,0,25:00,7,12,0.583,0,0,NA,1,2,0.5,2,10,1,2,1,1,1,15
1990-91,25,SAS,NBA,C,1,1,18:00,6,13,0.462,0,0,NA,4,5,0.8,3,6,0,2,3,2,5,16
1991-92,26,SAS,NBA,C,1,1,18:00,7,9,0.778,0,0,NA,5,8,0.625,1,5,2,3,1,0,3,19
1992-93,27,SAS,NBA,C,1,1,26:00,7,10,0.7,0,0,NA,7,12,0.583,2,10,1,0,1,1,4,21
1993-94,28,SAS,NBA,C,1,0,21:00,6,13,0.462,0,0,NA,7,10,0.7,3,5,0,0,2,1,2,19
1994-95,29,SAS,NBA,C,1,0,14:00,3,5,0.6,0,0,NA,4,6,0.667,0,3,2,2,1,1,2,10
1995-96,30,SAS,NBA,C,1,0,23:00,8,13,0.615,0,0,NA,2,2,1,6,11,2,2,2,1,4,18
1997-98,32,SAS,NBA,C,1,0,22:00,3,4,0.75,0,0,NA,9,10,0.9,2,6,0,2,2,2,1,15
1999-00,34,SAS,NBA,C,1,0,7:00,0,1,0,0,0,NA,0,0,NA,1,2,0,0,0,1,1,0
2000-01,35,SAS,NBA,C,1,0,10:00,3,5,0.6,0,0,NA,2,4,0.5,2,4,0,0,0,1,3,8
Career,NA,,NBA,,10,3,184,50,85,0.588,0,0,NA,41,59,0.695,22,62,8,13,13,11,26,141
