Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Andrés Nocioni,,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2,NA,NA,NA
Michael Kidd-Gilchrist,86.9,5.8,3.8,3.3,3.1,2.5,2.1,0.6,NA,NA,NA,NA
Buck Johnson,86.1,6.2,4.6,3.6,2.3,2.1,1.2,0.7,NA,NA,NA,NA
Pervis Ellison,85.9,6.9,4,3.9,2.6,1.8,1.1,0.7,0.5,0.4,0,0
J.J. Hickson,85.6,6.9,4.3,3.3,1.8,1.7,1.5,1.5,0.8,NA,NA,NA
Adam Keefe,85.3,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,NA,NA
Dick Schnittker,83.9,6.2,5.3,3.5,2.8,2.6,1.6,NA,NA,NA,NA,NA
Bison Dele,83.7,6.9,4.7,4,2.4,2.3,1.8,0.3,0.2,NA,NA,NA
Markieff Morris,83.6,6.4,4.6,4.1,3.3,1.7,1.6,1.5,0.5,NA,NA,NA
Gary Trent,83.6,5.5,4,3.3,3.1,3,2.3,1.7,0.4,0.1,NA,NA
Bill Robinzine,82.0,6.9,5.5,3.4,3,2.4,2.3,-0.2,NA,NA,NA,NA
