Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jeremy Tyler,,0.5,-0.1,-0.2,NA,NA
Dexter Pittman,23.3,0.6,0,-0.1,-0.1,NA
Oleksiy Pecherov,16.9,0.5,0.1,0,NA,NA
George Zídek,14.9,0.6,0.3,0,NA,NA
Alan Ogg,0.3,0.5,0.3,0,NA,NA
Mike Peplowski,-3.0,0.9,0.1,0,NA,NA
Paul Ruffner,-3.9,0.9,0.1,0,0,0
Chris Welp,-5.1,0.7,0.3,0,NA,NA
Matt Fish,-5.8,0.4,0.2,0,NA,NA
Garfield Smith,-8.4,1,-0.1,-0.2,NA,NA
Daniel Orton,-12.4,0.5,0.3,0.3,NA,NA
