Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Kareem Rush,,1.5,1,0.1,0,0,-0.2,-0.6
Sean Kilpatrick,65.1,1.4,1,0.1,0.1,NA,NA,NA
Ollie Mack,54.0,1.6,1,-0.1,NA,NA,NA,NA
Jannero Pargo,50.1,2,1.1,0.2,0.1,0.1,-0.1,-0.3
Mel Peterson,49.0,1.3,1,0,-0.2,NA,NA,NA
Richie Frahm,48.3,1.5,1,0.5,-0.2,NA,NA,NA
John Jenkins,48.1,1.7,0.9,0.2,0.2,0,-0.1,NA
Bobby Washington,47.9,1.5,0.7,0,NA,NA,NA,NA
Lloyd Daniels,47.8,1.8,1.1,0.2,0.1,0,NA,NA
Byron Irvin,47.7,1.2,0.9,0,NA,NA,NA,NA
Cory Alexander,47.0,2.2,1.1,0.2,0,-0.1,-0.1,-0.3
