Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Tracy Murray,,6.5,4.9,4.4,3.8,2.2,0.8,0.6,0.5,0.5,0.3,-0.1,-0.2
Adam Keefe,86.7,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,NA,NA,NA
Brandan Wright,85.5,6.1,5.1,4.1,3.5,1.9,1.6,1.3,1.1,0.8,0.7,NA,NA
Markieff Morris,84.4,6.4,4.6,4.1,3.3,1.7,1.6,1.5,0.5,NA,NA,NA,NA
Greg Smith,83.8,6.8,5.5,4.5,2.7,1.9,0.6,0.4,0,NA,NA,NA,NA
Chuck Hayes,82.9,6.4,6.3,4.4,3.6,2.4,1.6,1.5,1.4,0.6,0.5,0,NA
George Carter,82.5,6.4,4.4,4.2,4.1,2.9,2.2,0.2,0,NA,NA,NA,NA
Luke Jackson,82.1,5.1,4.8,4.2,3.6,1.7,1.4,0.8,0.8,NA,NA,NA,NA
Desmond Mason,82.0,5.7,5.2,4.7,4.3,1.7,1.5,0.6,0,-0.2,-0.3,NA,NA
Pervis Ellison,81.7,6.9,4,3.9,2.6,1.8,1.1,0.7,0.5,0.4,0,0,NA
Bison Dele,80.9,6.9,4.7,4,2.4,2.3,1.8,0.3,0.2,NA,NA,NA,NA
