Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Monta Ellis,,9,6,4.9,4.6,4.3,4,3.6,2.6,1.3,1.1,0.5,0.2
Kendall Gill,88.5,8.8,6.7,5.9,4.7,4.6,3.7,3.2,2.9,2.6,1.8,0.7,-0.4
Danny Green,87.9,7.8,5.9,5.9,4.5,4.2,4.2,3.4,2.9,0.2,0.1,NA,NA
Wesley Person,87.2,10.3,6.9,5.2,4,3.8,3.7,3.3,2.6,1.6,1.3,1.2,NA
Eric Snow,86.5,8.4,6.1,5.5,5.5,3.8,3.8,2.8,2.1,1.9,1.9,1.3,0.5
Jrue Holiday,85.5,7.1,5.7,5.4,4.2,3.8,3.4,3.4,3.3,1.5,1.2,NA,NA
Eddie Johnson,85.3,8.2,6.9,6.3,4.8,4.2,3.5,3,1.7,1.5,0.8,NA,NA
Sedale Threatt,85.2,7.3,7.1,4.6,4.6,4.5,3.8,3.4,2.7,2.5,2.1,1.3,0.1
Jay Humphries,84.9,8.6,7.6,5.8,4.9,4.8,4.5,3.5,2,1.9,1.8,-0.4,NA
Jerry Stackhouse,84.3,9.2,7.3,6.5,5.8,4.7,4.1,3.5,2.4,2.1,1.9,1.2,0.2
Kyle Macy,84.1,9.2,6.4,5,4.6,4.5,3.9,2.4,NA,NA,NA,NA,NA
