Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Shaun Livingston,,4.6,4.4,3.3,2.6,2.6,2.4,2,1.9,1.8,1.3,1.3,1.2,0.4,0.1
Steve Blake,86.9,5.8,3.8,3.3,2.8,2.4,2.1,2.1,1.8,1.8,1.1,1,0.7,0.3,NA
Ernie Grunfeld,85.4,4.3,4.3,3.5,2.7,2.5,2.4,2.2,1.6,1.4,NA,NA,NA,NA,NA
C.J. Miles,84.3,4,3.6,3.1,2.9,2.9,2.6,2.5,2.5,1.9,1.9,1.5,0.7,0.3,-0.5
Eric Piatkowski,83.1,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2.3,2,1.2,0.9,0.1,0.1,0
Lucious Harris,82.2,5.1,4.7,4.1,3.1,2.8,2.5,2.1,1.3,1.1,0.8,0.6,0.4,NA,NA
Bill Hanzlik,82.1,4.7,4.1,3.5,2.9,2.4,2.2,1.9,1.3,1,0.7,NA,NA,NA,NA
Mike Glenn,81.8,4.4,3.9,2.9,2.9,2.8,2.8,2.1,1.9,1.5,0.1,NA,NA,NA,NA
Anthony Peeler,81.4,4.1,3.8,3.7,3.4,3.2,2.7,2.5,2.4,2.2,1.1,0.8,0.6,0.5,NA
Scott Brooks,81.3,4.6,3.3,2.9,2.7,2.6,2.1,1.9,1.6,1,0.7,NA,NA,NA,NA
Rodney Stuckey,80.4,5,4.5,4,3.8,2.7,2.5,2.2,2,2,-0.1,NA,NA,NA,NA
