,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1961-62,23,CIN,NBA,,13,24,8,11,,,13,15,,,6,33
1962-63,24,CIN,NBA,,17,31,21,22,,,19,14,,,5,43
1963-64,25,CIN,NBA,,12,28,15,20,,,14,18,,,4,34
1964-65,26,CIN,NBA,,13,25,14,14,,,6,13,,,4,40
1965-66,27,CIN,NBA,,13,31,13,15,,,13,,,,6,37
1966-67,28,CIN,NBA,,11,20,11,11,,,6,16,,,5,33
1970-71,32,MIL,NBA,,14,,8,10,,,,,,,,31
1971-72,33,MIL,NBA,,9,,7,8,,,,,,,,23
1972-73,34,MIL,NBA,,13,21,8,9,,,7,12,,,6,34
1973-74,35,MIL,NBA,,9,17,7,9,,,7,16,,2,5,23
Career,,,,,17,,21,22,,,,,,,,43
4 Seasons,,MIL,NBA,,14,,8,10,,,,,,,,34
6 Seasons,,CIN,NBA,,17,31,21,22,,,19,,,,6,43
