Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1960-61,22,CIN,NBA,PG,1,1,34:00,8,13,0.615,7,9,0.778,NA,9,14,NA,NA,5,23
1961-62,23,CIN,NBA,PG,1,1,37:00,9,20,0.45,8,14,0.571,NA,7,13,NA,NA,3,26
1962-63,24,CIN,NBA,PG,1,1,37:00,9,15,0.6,3,4,0.75,NA,3,6,NA,NA,5,21
1963-64,25,CIN,NBA,PG,1,1,42:00,10,23,0.435,6,10,0.6,NA,14,8,NA,NA,4,26
1964-65,26,CIN,NBA,PG,1,1,40:00,8,18,0.444,12,13,0.923,NA,6,8,NA,NA,5,28
1965-66,27,CIN,NBA,PG,1,1,25:00,6,12,0.5,5,6,0.833,NA,10,8,NA,NA,0,17
1966-67,28,CIN,NBA,PG,1,1,34:00,9,20,0.45,8,10,0.8,NA,2,5,NA,NA,4,26
1967-68,29,CIN,NBA,PG,1,1,22:00,7,9,0.778,4,7,0.571,NA,1,5,NA,NA,2,18
1968-69,30,CIN,NBA,PG,1,1,32:00,8,16,0.5,8,8,1,NA,6,5,NA,NA,3,24
1969-70,31,CIN,NBA,PG,1,1,29:00,9,11,0.818,3,4,0.75,NA,6,4,NA,NA,3,21
1970-71,32,MIL,NBA,PG,1,0,24:00,2,6,0.333,1,3,0.333,NA,2,2,NA,NA,3,5
1971-72,33,MIL,NBA,PG,1,0,24:00,3,9,0.333,5,10,0.5,NA,3,3,NA,NA,4,11
Career,NA,,NBA,,12,10,380,88,172,0.512,70,98,0.714,NA,69,81,NA,NA,41,246
