,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1960-61,22,CIN,NBA,,17,,19,,,,,,,,,45
1961-62,23,CIN,NBA,,19,,18,,,,22,22,,,,49
1962-63,24,CIN,NBA,,16,,15,,,,20,,,,,43
1963-64,25,CIN,NBA,,18,31,17,19,,,22,21,,,6,48
1964-65,26,CIN,NBA,,18,,22,26,,,21,,,,,56
1965-66,27,CIN,NBA,,16,,20,24,,,19,,,,,48
1966-67,28,CIN,NBA,,18,,22,23,,,11,,,,,48
1967-68,29,CIN,NBA,,16,,16,20,,,,,,,,43
1968-69,30,CIN,NBA,,16,,16,17,,,,,,,,42
1969-70,31,CIN,NBA,,18,,15,17,,,,,,,,44
1970-71,32,MIL,NBA,,13,,13,15,,,,,,,,35
1971-72,33,MIL,NBA,,14,,12,13,,,,,,,,33
1972-73,34,MIL,NBA,,15,,11,14,,,,,,,,31
1973-74,35,MIL,NBA,,9,,11,14,,,,17,,,,24
Career,,,,,19,,22,,,,,,,,,56
10 Seasons,,CIN,NBA,,19,,22,,,,,,,,,56
4 Seasons,,MIL,NBA,,15,,13,15,,,,,,,,35
