Season,Team,Lg,Salary
1994-95,Los Angeles Clippers,NBA,"$962,500"
1995-96,Los Angeles Clippers,NBA,"$1,138,000"
1996-97,Los Angeles Clippers,NBA,"$1,363,000"
1997-98,Los Angeles Clippers,NBA,"$1,587,500"
1998-99,Los Angeles Clippers,NBA,"$1,650,000"
1999-00,Los Angeles Clippers,NBA,"$2,000,000"
2000-01,Los Angeles Clippers,NBA,"$2,200,000"
2001-02,Los Angeles Clippers,NBA,"$3,000,000"
2002-03,Los Angeles Clippers,NBA,"$3,000,000"
2003-04,Houston Rockets,NBA,"$2,500,000"
2004-05,Chicago Bulls,NBA,"$2,750,000"
2005-06,Chicago Bulls,NBA,"$3,000,000"
2006-07,Phoenix Suns,NBA,"$1,178,348"
2007-08,Phoenix Suns,NBA,"$1,219,590"
Career,(may be incomplete),,"$27,548,938"
