,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1994-95,24,LAC,NBA,,8,14,4,8,7,9,5,6,3,6,7,6,2,2,4,6,23,19.2
1995-96,25,LAC,NBA,,6,11,3,7,4,8,7,7,4,6,8,3,2,2,3,5,16,20.9
1996-97,26,LAC,NBA,31:20,6,14,3,7,4,10,6,6,5,4,6,4,5,1,4,5,16,13.2
1997-98,27,LAC,NBA,46:44,10,17,7,9,7,12,8,8,4,9,13,5,3,2,4,5,29,29.4
1998-99,28,LAC,NBA,47:35,10,19,5,9,7,11,12,13,4,7,8,3,4,2,4,4,29,25.2
1999-00,29,LAC,NBA,46:03,11,19,6,8,8,12,7,9,4,9,13,5,2,3,4,5,35,27.9
2000-01,30,LAC,NBA,49:51,11,18,6,10,7,10,7,8,3,7,8,5,3,2,4,4,30,22.8
2001-02,31,LAC,NBA,48:00,11,18,5,9,6,9,9,9,5,7,11,9,3,2,4,4,36,31.0
2002-03,32,LAC,NBA,39:40,9,17,5,9,7,11,6,8,4,6,9,4,3,2,4,5,27,24.4
2003-04,33,HOU,NBA,36:34,5,10,4,7,3,4,4,4,2,5,5,3,2,1,3,5,14,9.9
2004-05,34,CHI,NBA,31:54,7,11,5,8,4,7,6,6,2,8,9,4,3,1,2,5,24,20.6
2005-06,35,CHI,NBA,24:55,4,8,3,6,3,4,1,2,1,3,3,2,1,1,2,3,11,9.7
2006-07,36,PHO,NBA,21:21,4,9,3,8,1,2,2,2,1,1,2,2,0,1,2,4,11,5.8
2007-08,37,PHO,NBA,18:13,2,6,2,5,1,1,2,2,1,3,3,2,0,1,1,2,6,3.7
Career,,,,49:51,11,19,7,10,8,12,12,13,5,9,13,9,5,3,4,6,36,31.0
9 Seasons,,LAC,NBA,49:51,11,19,7,10,8,12,12,13,5,9,13,9,5,3,4,6,36,31.0
2 Seasons,,CHI,NBA,31:54,7,11,5,8,4,7,6,6,2,8,9,4,3,1,2,5,24,20.6
1 Season,,HOU,NBA,36:34,5,10,4,7,3,4,4,4,2,5,5,3,2,1,3,5,14,9.9
2 Seasons,,PHO,NBA,21:21,4,9,3,8,1,2,2,2,1,3,3,2,0,1,2,4,11,5.8
