Season,Team,Lg,Salary
1984-85,Chicago Bulls,NBA,"$369,000"
1985-86,San Antonio Spurs,NBA,"$600,000"
1987-88,Portland Trail Blazers,NBA,"$650,000"
1988-89,Portland Trail Blazers,NBA,"$750,000"
Career,(may be incomplete),,"$2,369,000"
