Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Steve Johnson,,4.9,4.4,4.4,4.4,3.1,2.4,1.7,1.3,0.2,0
Kelvin Cato,92.0,5.3,4.6,4.3,4.2,3.8,2.7,1.7,1.6,0.3,0.1
Matt Geiger,90.0,5.9,4.7,4.5,4.3,2.7,2.6,1.9,1.2,0.7,-0.1
Sam Bowie,88.3,5.7,4.7,4.6,4.3,2.6,2.4,1.1,0.8,0.5,0.1
Will Perdue,87.6,4.7,4.7,4.4,3.4,2.5,2.5,2.3,0.5,0.2,-0.1
JaVale McGee,87.3,5.3,4.9,4.1,3.5,2.7,2.1,2,1.1,0.4,-0.1
Nazr Mohammed,86.1,4.6,4.5,3.7,3.4,3.3,2.5,2.3,0.4,0,-0.1
Coby Dietrick,85.8,4.5,4.4,4.1,3,2.9,2.5,2.3,0.3,0.1,0
Kevin Duckworth,85.8,5.2,4.8,4.8,4.3,3.3,2.5,0.8,0,-0.1,-0.5
Mel Counts,85.1,5,4.3,4.2,2.9,2.7,1.9,1.5,1.5,1,0.3
Lloyd Neal,84.8,4.8,4.7,4.3,4.3,2.9,1.8,-0.1,NA,NA,NA
