Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Karl-Anthony Towns,,14,12.7,10.4,8.3,NA,NA,NA,NA,NA,NA
Nikola Jokić,84.6,11.8,10.7,9.7,6.7,NA,NA,NA,NA,NA,NA
Rudy Gobert,81.2,14.4,14.3,9.3,8.1,6.4,0.4,NA,NA,NA,NA
Ed Sadowski,78.2,11.8,10.7,9.3,4.3,NA,NA,NA,NA,NA,NA
Clint Capela,64.4,10.8,10.2,5.9,4.4,0,NA,NA,NA,NA,NA
Brad Daugherty,59.8,12.7,11.7,9.6,9,6.6,6.4,6,3.1,NA,NA
Willis Reed,58.3,14.7,14.6,10.6,10,7.9,5.8,5.5,3.6,1.5,0.6
Jeff Ruland,55.6,10.1,9.3,7.8,3.5,3.3,0.3,0,0,NA,NA
Hassan Whiteside,54.5,10.3,9.5,6.3,5.3,5.3,0.2,0,NA,NA,NA
Andre Drummond,53.6,10.3,10,9.9,7.7,7.4,6.7,4.5,NA,NA,NA
Steven Adams,53.0,9.7,9.1,6.5,6.5,4.1,2.9,NA,NA,NA,NA
