Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Arnie Johnson,,9.1,8.7,7.5,7.2,6.7
Elvin Hayes,95.8,9.6,8.5,7.8,7.6,7.3
Jack Twyman,95.3,9.3,8.8,8.3,7.3,5.9
Bob Netolicky,93.1,8.3,8.2,7.5,7.4,5.6
Buck Williams,92.4,11.4,8.9,7.7,7.3,6.8
Red Robbins,92.0,10.7,9.3,7,6.9,6.7
James Worthy,92.0,9.5,9.3,7.5,6.5,5.1
Bob Dandridge,91.8,9.5,9.1,8.4,8.1,6
Rodney McCray,91.5,9.4,8.5,7.6,6.3,4.6
Larry Kenon,90.9,10,9.5,7.5,6.2,5.9
Terry Cummings,90.8,10.7,8.8,8.7,7.5,7.4
