Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Arnie Johnson,,9.1,8.7,7.5,7.2,6.7,NA,NA,NA,NA,NA
John Beasley,81.9,8.9,8.1,8,6.8,3.3,2,0.8,NA,NA,NA
Willie Wise,79.5,11.2,10.5,8.9,7.5,6.7,2.5,0.7,0.6,0,NA
Fred Schaus,79.3,8.5,8.4,6.8,4,3.7,NA,NA,NA,NA,NA
Goose Ligon,77.3,9.9,9.7,6.5,6.3,2.4,1,0.3,NA,NA,NA
Jim McMillian,76.7,8.9,7.9,7.8,6.4,6,3.4,2.6,2.5,0.5,NA
Josh Howard,75.6,8.8,8,6.7,6.4,3.5,3.2,1,0.5,0,-0.2
Kermit Washington,75.5,9.1,6.9,6.8,5.3,4.3,0.9,0.9,0.8,0.8,0.1
Draymond Green,75.3,11.1,8.5,8.2,6.1,4.5,4.3,0.6,NA,NA,NA
Red Robbins,75.1,10.7,9.3,7,6.9,6.7,3.9,3.7,2.3,NA,NA
Tristan Thompson,73.7,8.7,7.3,6.8,5.7,5.2,2.6,2.5,1.1,NA,NA
