,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1970-71,18,NCSTATE,16,,167,317,,,86,118,,246,,,,,,420,.527,,.729,,26.3,15.4,
1971-72,19,NCSTATE,26,,214,412,,,126,183,,365,,,,,,554,.519,,.689,,21.3,14.0,
1972-73,20,NCSTATE,27,,199,389,,,84,115,,324,,,,,,482,.512,,.730,,17.9,12.0,
1973-74,21,NCSTATE,31,,228,442,,,106,162,,377,,,,,,562,.516,,.654,,18.1,12.2,
Career,,,84,,641,1243,,,316,460,,1066,,,,,,1598,.516,,.687,,19.0,12.7,
