,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1974-75,22,SEA,NBA,,12,,,,,,11,17,,,,,,,,,29,
1975-76,23,SEA,NBA,,15,,,,,,11,14,,,,,,,,,35,
1976-77,24,SEA,NBA,,12,,,,,,9,14,,,,,,,,,26,
1977-78,25,KCK,NBA,,7,,,,,,8,10,,,,,,,,,20,
1978-79,26,KCK,NBA,,6,,,,,,10,11,,,,,,,,,18,
1979-80,27,KCK,NBA,,5,,0,,,,4,5,,,,,,,,,12,
1980-81,28,ATL,NBA,,5,,0,,,,4,5,,,,,,,,,12,
Career,,,,,15,,,,,,11,17,,,,,,,,,35,
3 Seasons,,SEA,NBA,,15,,,,,,11,17,,,,,,,,,35,
3 Seasons,,KCK,NBA,,7,,,,,,10,11,,,,,,,,,20,
1 Season,,ATL,NBA,,5,,0,,,,4,5,,,,,,,,,12,
