Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Tom Burleson,,8.2,4.4,4.3,3.3,2.7,0.2,-0.1
Jack Nichols,83.7,6.7,4.4,4.3,4.1,1.6,0.3,NA
Marvin Webster,83.7,8.7,3.9,3.2,2.8,2.7,1.3,0.2
Rasho Nesterović,83.1,7.2,5.2,4.2,4.1,3,1.5,0
Roy Tarpley,82.0,7.8,3.5,3.1,2.8,2,0.6,NA
Danny Schayes,81.2,8.8,4.6,3.9,2.8,2,1.7,1.2
Randy Denton,81.0,5.5,4.3,3.9,3.1,3,0.4,NA
Mike Green,80.9,8.7,4.7,3.9,3.8,3.3,2.8,0.4
Channing Frye,79.2,6.4,4.7,3.7,3.5,3.2,0.9,0.8
Tim McCormick,78.8,6,4.6,3.9,3.8,2,1.1,-0.1
Sam Bowie,78.4,5.7,4.7,4.6,2.6,2.4,0.5,0.1
