Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Tom Burleson,,8.2,4.4,4.3,3.3,2.7,0.2,-0.1,NA,NA
Roy Tarpley,82.0,7.8,3.5,3.1,2.8,2,0.6,NA,NA,NA
Randy Denton,81.0,5.5,4.3,3.9,3.1,3,0.4,NA,NA,NA
Mike Green,80.9,8.7,4.7,3.9,3.8,3.3,2.8,0.4,NA,NA
Jack Nichols,79.5,6.7,4.4,4.3,4.1,2.5,1.6,1,0.3,NA
Tim McCormick,77.6,6,4.6,3.9,3.8,2,1.1,0.2,-0.1,NA
Myles Turner,76.7,8,6.3,4.7,3.1,NA,NA,NA,NA,NA
George Ratkovicz,76.1,9.3,6,5.4,5.2,2.8,-0.1,NA,NA,NA
Mike Lewis,75.7,7.9,7.5,4,3.8,1.1,0,NA,NA,NA
Cody Zeller,75.5,6.3,5.6,3.9,3.8,2.6,1.9,NA,NA,NA
Gene Moore,74.8,6.8,5.7,5,4.5,1.9,0.8,0,NA,NA
