Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,23,ORL,NBA,PG,1,1,31:00,4,9,0.444,0,2,0,4,6,0.667,4,5,11,0,0,3,1,12
1995-96,24,ORL,NBA,PG,1,1,31:00,6,8,0.75,2,4,0.5,4,4,1,0,3,7,2,0,3,0,18
1996-97,25,ORL,NBA,PG,1,1,24:00,7,10,0.7,3,5,0.6,2,2,1,4,7,3,2,0,1,2,19
1997-98,26,ORL,NBA,SG,1,1,12:00,3,5,0.6,0,1,0,0,0,NA,0,0,3,0,0,1,0,6
Career,NA,,NBA,,4,4,98,20,32,0.625,5,12,0.417,10,12,0.833,8,15,24,4,0,8,3,55
