Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Bob Feerick,,18.6,10.5,8.9,3.6
Spencer Haywood,91.5,17.1,10.2,8.7,2.2
Kevin Durant,84.5,16.1,12,7.9,2.3
Connie Hawkins,84.0,17.9,11.3,10.2,8.6
Grant Hill,80.4,14.6,11.7,10.2,5.4
Karl Malone,80.4,15.2,10.1,6.9,1.9
Charles Barkley,80.2,16.7,12,10.8,7.5
Paul Pierce,79.5,12.9,10.4,8.2,4.9
Shawn Marion,79.3,13,11.7,9.8,4.1
Rick Barry,79.0,14.4,10.4,8.5,7.8
Anthony Davis,77.9,14,10.4,7.2,6.1
