Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Bob Feerick,,18.6,10.5,8.9,3.6,NA,NA,NA,NA,NA
Joe Fulks,66.1,16.3,7.7,6,4.3,-0.6,-0.8,-1.8,-1.8,NA
Giannis Antetokounmpo,60.2,14.4,12.4,11.9,7.1,6.2,1.2,NA,NA,NA
Willie Wise,54.8,11.2,10.5,8.9,7.5,6.7,2.5,0.7,0.6,0
Goose Ligon,54.1,9.9,9.7,6.5,6.3,2.4,1,0.3,NA,NA
Kenny Sears,52.1,13.3,10,8.8,8,6.2,4,3.7,1.8,NA
Draymond Green,50.8,11.1,8.5,8.2,6.1,4.5,4.3,0.6,NA,NA
Fred Schaus,49.6,8.5,8.4,6.8,4,3.7,NA,NA,NA,NA
Otto Porter,49.1,9.4,8.1,5.6,3.2,2.7,0,NA,NA,NA
Bob Kauffman,47.4,8,7.9,7.9,3.1,2,1.4,1.2,NA,NA
Connie Hawkins,47.1,17.9,11.3,10.2,9.6,8.6,7.5,7.1,3.5,1.1
