Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Josh Richardson,,5.6,5.4,2.5,2.2,NA,NA,NA
Bojan Bogdanović,84.9,6.8,5.4,2.9,2.4,0.9,NA,NA
Tyler Johnson,83.9,5.8,4.2,2.3,2,0.8,NA,NA
George Lehmann,82.1,7.3,5.9,2.5,2.3,0.7,0,0
Spencer Dinwiddie,80.4,5.7,4.8,2.8,0.1,0.1,NA,NA
Jim Seminoff,79.5,5.4,4.5,3.6,3.4,NA,NA,NA
Gary Harris,79.3,5.5,4.6,4,2.6,-0.7,NA,NA
Bob Donham,77.4,6.1,4.5,3.8,3.5,NA,NA,NA
Rudy Fernández,76.6,6.1,3.8,3,1.2,NA,NA,NA
Kenny Sailors,76.4,5.2,4.9,3.7,1.7,1.6,NA,NA
Jim Spanarkel,75.7,5.5,5.2,1,0.4,0.2,NA,NA
