,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2015-16,22,MIA,NBA,SG,52,1107,.452,14.9,.577,.228,.107,.110,.132,.423,.446,.613,.310,.267,.417,.461,.414,.055,14,.962,.348,.550,0,0
2016-17,23,MIA,NBA,SG,53,1614,.394,16.8,.558,.170,.096,.101,.189,.442,.444,.552,.408,.519,.330,.330,.354,.025,11,.933,.260,.475,1,0
2017-18,24,MIA,NBA,SF,81,2689,.451,14.9,.620,.198,.141,.119,.162,.380,.495,.611,.464,.457,.413,.378,.397,.025,20,.953,.250,.345,1,0
2018-19,25,MIA,NBA,SG,73,2539,.412,16.5,.552,.176,.125,.131,.120,.448,.458,.569,.367,.455,.390,.357,.436,.027,25,.878,.154,.366,0,0
2019-20,26,PHI,NBA,SG,48,1474,.429,15.9,.627,.171,.139,.152,.166,.373,.489,.622,.388,.345,.568,.327,.415,.024,14,.814,.117,.320,0,0
Career,,,NBA,,307,9423,.426,15.9,.587,.184,.126,.125,.151,.413,.471,.592,.401,.426,.421,.362,.407,.028,84,.906,.206,.405,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MIA,NBA,,259,7949,.425,15.9,.578,.187,.123,.119,.148,.422,.467,.586,.405,.449,.386,.368,.405,.029,70,.921,.223,.413,2,0
1 season,,PHI,NBA,,48,1474,.429,15.9,.627,.171,.139,.152,.166,.373,.489,.622,.388,.345,.568,.327,.415,.024,14,.814,.117,.320,0,0
