Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Josh Richardson,,5.6,5.4,2.5,2.2
Blue Edwards,97.0,5.7,5.2,2.7,2.2
Greg Anthony,91.8,5.5,4.6,2.9,2.2
Butch Beard,91.0,5.9,5.6,2.2,1.5
Al Attles,89.5,5.3,5.2,3.4,1.9
Odie Spears,89.3,5.6,5.2,3.3,3.1
Dick Van Arsdale,89.3,5.6,5.2,3.8,2.6
Austin Carr,88.8,5.9,5.4,2.9,1
Paul Walther,88.6,6.6,5.2,2.2,2
Muggsy Bogues,88.3,6.7,4.8,2.6,2.3
Jason Richardson,88.2,5.7,5.2,3.7,2.9
