Thru 13 Years,Thru 13 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Darrick Martin,,4.6,1.9,1.3,0.7,0.5,0.4,0.2,0.1,0.1,0.1,0,-0.1,-0.2
Johnny Neumann,85.8,4.6,2,1.6,0.8,0.6,0,-0.1,NA,NA,NA,NA,NA,NA
Troy Hudson,82.8,5.1,2.5,1.3,0.7,0.6,0.5,0.1,0.1,0,-0.1,-0.2,NA,NA
Ed Fleming,82.6,5,2,1.2,1,0.8,NA,NA,NA,NA,NA,NA,NA,NA
Jason Hart,80.5,4.8,1.9,1.5,0.4,0.3,0.1,0,0,-0.3,NA,NA,NA,NA
Ernie Beck,77.4,4.3,2.1,1.1,0.9,0.9,0.1,-0.4,NA,NA,NA,NA,NA,NA
Rick Mount,75.5,4.6,3.5,1.1,0.7,0.6,NA,NA,NA,NA,NA,NA,NA,NA
Pep Saul,75.2,4.2,2.8,1.5,0.8,0.6,NA,NA,NA,NA,NA,NA,NA,NA
Seth Curry,73.4,4.6,2.4,1.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Knight,72.8,4.5,2.8,1.7,1.3,1.1,0.3,0,NA,NA,NA,NA,NA,NA
Jim Les,72.2,3.6,2.3,1.3,0.3,0.3,0.2,0.1,NA,NA,NA,NA,NA,NA
