Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Keith Lee,,1.9,1.1,0.8,NA,NA
Joe Kopicki,91.3,1.9,0.9,0.7,NA,NA
Hank Whitney,90.4,1.8,1.1,0.5,NA,NA
Bob Portman,85.0,1.9,1.2,0.8,0.5,NA
Grady Lewis,84.4,2.4,1.1,0.8,NA,NA
Marty Byrnes,84.1,2.3,1,0.9,0,NA
Tellis Frank,83.2,2,1.1,0.6,0.3,0.1
Billy Schaeffer,82.2,1.9,0.8,0.5,NA,NA
Jan Veselý,81.9,1.7,1.6,0.7,NA,NA
Derrick Brown,80.2,2.3,1.3,1,NA,NA
Taurean Waller-Prince,79.7,2,1.5,1.1,NA,NA
