Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Walter Berry,,3.4,2.4,2.3,NA,NA,NA
Sam Williams,89.4,3.7,2.7,2.6,-0.1,NA,NA
Mike Jackson,88.6,3.4,3.1,2.4,0.2,NA,NA
Mickey Davis,88.1,3.4,2.6,2.3,0.4,0.3,-0.1
Kelly Oubre,86.0,3.7,2.2,2,0.4,NA,NA
Arnie Ferrin,85.3,2.6,2.6,2.4,NA,NA,NA
Dāvis Bertāns,84.9,4,3.1,2.3,NA,NA,NA
Justise Winslow,84.7,2.8,2.6,2.5,-0.1,NA,NA
Zeke Zawoluk,84.2,3.9,2.5,1.7,NA,NA,NA
Solomon Hill,83.2,3.5,2.7,2.1,0.5,0.4,-0.1
Don Boven,82.4,3.8,2.2,1.5,NA,NA,NA
