Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jerry Eaves,,2,0.7,0,-0.1,NA
Win Wilfong,83.0,2.1,0.6,0.2,-0.3,NA
Alexey Shved,82.3,2.2,0.8,0.2,NA,NA
Trajan Langdon,81.5,2,0.6,0.3,NA,NA
Tracy Jackson,81.1,1.7,0.7,0,NA,NA
Danuel House,81.0,2.3,0.6,0,NA,NA
Travis Mays,79.9,2.1,0.3,0,NA,NA
Bubbles Hawkins,77.5,1.9,0.6,0.3,0.1,NA
Kedrick Brown,75.7,2,0.5,0.4,0.1,NA
Kevin Williams,74.9,1.9,0.6,0.1,0.1,-0.1
Bobby Washington,71.8,1.5,0.7,0,NA,NA
