Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Chris Morris,,7.2,4.7,4.5,4,3.8,3.3,3.2,2.8,1.6,1.2,1
Harvey Grant,91.5,6.7,5,4.3,4,4,3.9,2.7,2.6,1.7,0.8,0.7
Johnny Newman,90.4,6.7,4.5,4.4,4.1,3.7,3.7,3.1,2.8,2.8,2.3,0.3
Glenn Robinson,89.8,6.7,4.8,4.7,4.7,4,3.5,3.2,3.1,2.9,1.6,0.5
Rodney Rogers,89.8,7.4,5.4,4.7,3.9,3.3,3.1,2.9,2.3,2.3,2,1.2
Matt Bonner,89.0,6.8,4.4,4.2,4.1,4,3.7,2.5,2.2,2.1,2,1.8
Tom Van Arsdale,87.8,5.5,5,4.8,4.4,4,3.1,2.7,2.2,1.6,1.4,1
Robert Reid,87.5,7.2,5.2,4.9,4.5,4.4,4.1,3.5,3,2.3,1.7,-0.1
Antoine Carr,87.3,5.5,5.4,4.3,4,3.8,3.5,3.3,2.2,2.1,1.2,0.7
John Johnson,87.2,6.2,4.9,4.6,4.3,4,2.7,2.5,2.3,2.1,2.1,1.2
Sam Mitchell,86.8,6.1,5.1,5.1,4.3,3.7,3.3,3,2.8,2.3,2.3,2.2
