,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1994-95,18,NWESTERN,26,769,103,265,30,84,68,90,,74,101,15,7,74,48,304,.389,.357,.756,29.6,11.7,2.8,3.9
1995-96,19,NWESTERN,27,951,171,433,75,201,119,154,,71,74,26,5,71,51,536,.395,.373,.773,35.2,19.9,2.6,2.7
1997-98,21,CALIFORNIA,22,,129,298,51,149,85,113,,67,50,23,3,,,394,.433,.342,.752,,17.9,3.0,2.3
1998-99,22,CALIFORNIA,33,1111,171,452,41,134,143,185,,81,129,26,6,78,42,526,.378,.306,.773,33.7,15.9,2.5,3.9
Career,,,108,2831,574,1448,197,568,415,542,,293,354,90,21,223,141,1760,.396,.347,.766,32.9,16.3,2.7,3.3
