,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1972-73,22,POR,NBA,,3,7,2,2,2,1,4,6
Career,,,,,3,7,2,2,2,1,4,6
