Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Vincent Askew,,6,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2
Earl Boykins,90.0,6,4.5,4.1,3.5,2.9,1,0.8,0.3,-0.3
Ron Williams,89.4,6.1,5.8,4.4,2.6,2.6,1.9,0.1,0,NA
Craig Ehlo,88.2,6.5,4.6,3.8,3.4,3.1,1.2,0.5,0.2,0
George Senesky,87.7,6.2,4.4,3.6,2.6,2.3,2,0.5,0.3,NA
Jeremy Lamb,87.6,5.3,4.9,3.3,2.7,2.7,1.6,0.2,NA,NA
Darwin Cook,85.5,6,3.9,3.6,3,2.7,1.6,1.2,0.9,NA
Phil Ford,85.5,6.1,5.7,5.2,2.9,2.4,0.9,0.2,NA,NA
Jim Jackson,85.5,5.4,4.9,4.4,2.8,2.5,2.5,0.6,0.1,-1.6
Larry Drew,85.2,7.2,4.6,3.6,3,2.8,1.4,1.2,0.1,0
Kentavious Caldwell-Pope,84.5,5.3,5.3,4.5,4,2.8,1.8,NA,NA,NA
