Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Vincent Askew,,6,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2,NA
Ron Williams,89.4,6.1,5.8,4.4,2.6,2.6,1.9,0.1,0,NA,NA
George Senesky,87.7,6.2,4.4,3.6,2.6,2.3,2,0.5,0.3,NA,NA
Jeremy Lamb,87.6,5.3,4.9,3.3,2.7,2.7,1.6,0.2,NA,NA,NA
Darwin Cook,85.5,6,3.9,3.6,3,2.7,1.6,1.2,0.9,NA,NA
Phil Ford,85.5,6.1,5.7,5.2,2.9,2.4,0.9,0.2,NA,NA,NA
Kentavious Caldwell-Pope,84.5,5.3,5.3,4.5,4,2.8,1.8,NA,NA,NA,NA
O.J. Mayo,84.2,5.6,4.2,3.5,3.4,2.8,2.4,0.1,-0.1,NA,NA
Larry Drew,83.9,7.2,4.6,3.6,3,2.8,1.4,1.2,0.5,0.1,0
Ted McClain,83.6,7,4.2,4.1,2.7,2,0.8,0.5,-0.1,NA,NA
Martell Webster,83.5,6.3,5,4.4,3.5,1.8,1.5,1.3,0.9,0,0
