Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1950-51,24,BLB,NBA,NA,24,NA,NA,NA,NA,0.282,NA,NA,0.786,NA,NA,NA,NA
Career,NA,,NBA,NA,24,NA,NA,NA,NA,0.282,NA,NA,0.786,NA,NA,NA,NA
