Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Marvin Barnes,,8.6,7.6,2,1.3,1,0.1
Art Heyman,87.0,8.5,6.1,2.7,1.3,0.6,0
Leo Mogus,79.2,8,7.7,5,1.2,NA,NA
John Brisker,79.0,8.2,6.3,3.1,2.3,1.7,0.5
Toby Knight,74.5,7.3,5.7,1.6,1.1,NA,NA
Montrezl Harrell,73.2,8.7,5.5,4.1,0.9,NA,NA
Bud Palmer,72.2,7.4,7.2,3.9,NA,NA,NA
Jerami Grant,71.2,7.3,5.4,2.9,2.1,0.5,NA
Howie Dallmar,69.5,7,5.9,2.2,NA,NA,NA
Dwight Powell,69.4,7.5,6.6,4.6,3.1,0.6,NA
Reggie King,69.3,8.3,6.2,4.8,3.4,1.6,0.5
