Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Marvin Barnes,,8.6,7.6,2,1.3,1,0.1
LaPhonso Ellis,89.1,8,7.6,3.6,1.4,1,0
Art Heyman,87.0,8.5,6.1,2.7,1.3,0.6,0
Gerald Wallace,83.4,7.7,6.4,2.4,0.9,0.6,0.4
Metta World Peace,80.8,8,7.2,2.7,2.3,1.9,1.3
Don Kojis,80.3,8.3,5,1.9,1.5,0.7,0.7
Leo Mogus,79.2,8,7.7,5,1.2,NA,NA
John Brisker,79.0,8.2,6.3,3.1,2.3,1.7,0.5
Jermaine O'Neal,77.6,6.4,6.4,2.1,1.2,0.8,0.8
Bill Bridges,77.3,8.6,7.6,3.9,3.1,2.6,0.6
Matt Harpring,76.9,8.8,6.1,2.8,2.6,2.6,0.2
