Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Roy Hinson,,7.4,5,4.5,4.5,4.4,2.5,1.8,0.1,NA,NA,NA
Kenny Thomas,88.7,6.6,5.5,4.6,4.4,4.3,2.2,2.2,1.2,0.4,0.1,-0.3
Walter Simon,87.9,6.1,4.8,4.5,4.1,3.4,2.7,2,NA,NA,NA,NA
Harrison Barnes,87.3,6.7,4.9,4.6,3.8,3.6,3.2,2.8,NA,NA,NA,NA
M.L. Carr,87.1,7.9,5.9,5.2,4.5,4.5,2.8,1.1,0.8,0.4,0.4,NA
Mel Hutchins,85.8,6.9,5.8,4.4,3.9,3.8,2.8,0.3,NA,NA,NA,NA
Jim Pollard,84.7,7.2,5.7,5.7,5.4,4.6,4.2,2.1,NA,NA,NA,NA
Jae Crowder,84.6,7.3,6.7,4.4,3.9,2.6,2.3,1.5,NA,NA,NA,NA
Bob Gross,84.3,7.4,7.1,4.4,3.8,3.1,2.9,1.7,0.2,NA,NA,NA
Curtis Perry,83.8,7.6,6,5.3,4.8,2.8,1.7,1.3,0.2,NA,NA,NA
P.J. Tucker,83.2,6.1,5,4.9,3.9,3.6,3.5,2.9,0.1,NA,NA,NA
