Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Roy Hinson,,7.4,5,4.5,4.5,4.4,2.5,1.8,0.1
Kenny Thomas,90.2,6.6,5.5,4.6,4.4,4.3,2.2,2.2,1.2
Mike Dunleavy,89.2,8.5,5.2,5.1,4.9,4.2,2.3,1.5,0.5
Jeff Foster,88.8,8.3,5.7,5.4,4.5,4.2,2.7,1.6,0.6
M.L. Carr,88.7,7.9,5.9,5.2,4.5,4.5,2.8,1.1,0.8
Jeff Green,88.6,6.6,5.2,4.8,4.7,4.2,3.3,3.1,0.2
Walter Simon,87.9,6.1,4.8,4.5,4.1,3.4,2.7,2,NA
Harrison Barnes,87.3,6.7,4.9,4.6,3.8,3.6,3.2,2.8,NA
Juwan Howard,87.2,7,5.6,4.9,4.6,4.4,2.8,2.8,1.9
Amir Johnson,87.0,7.3,5.6,4.5,4,3,2.7,0.5,0.2
Jerome Williams,86.2,7.6,5.4,5,4.8,4.5,4.3,3.5,0.2
