Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Stromile Swift,,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1,-0.1
Pat Cummings,91.5,4.2,4,3.3,2.7,2.5,1.8,1.5,1.1,0.6
Terry Catledge,90.7,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1,NA
James Jones,89.7,4.7,4,3.7,2.5,2.2,1.7,1,0.9,0
Andray Blatche,88.3,4.9,3.7,3.4,3,2.4,1.4,0.5,0.1,-0.1
Vladimir Radmanović,88.1,4.2,3.8,3.7,3.5,2.7,2.1,1.9,0.8,0
Charlie Villanueva,88.0,4.9,3.9,3.5,3.1,1.7,1.7,1.6,0.4,0.1
Shandon Anderson,87.4,4.9,4.2,3.9,2.7,2.1,2,1.7,1.2,0.4
Eduardo Nájera,86.4,4.8,4.1,4,4,2.7,1.6,1.1,1.1,0.1
Gary Trent,86.2,5.5,4,3.3,3.1,3,2.3,1.7,0.4,0.1
Fred Roberts,85.5,4.2,3.5,3,2.6,2.2,2,1.9,1.8,0.2
