Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Stromile Swift,,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1,-0.1,NA,NA,NA
Terry Catledge,90.7,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1,NA,NA,NA,NA
Len Chappell,89.5,4.7,3.7,3.6,3.2,2.9,2.1,0.9,0.5,0.1,0.1,NA,NA
Pat Cummings,89.2,4.2,4,3.3,2.7,2.5,1.8,1.5,1.1,0.6,0.6,0.1,0.1
Andray Blatche,88.3,4.9,3.7,3.4,3,2.4,1.4,0.5,0.1,-0.1,NA,NA,NA
Charlie Villanueva,87.6,4.9,3.9,3.5,3.1,1.7,1.7,1.6,1.4,0.4,0.2,0.1,NA
Kwame Brown,86.5,4.9,3.6,3.5,2.5,1.9,1.9,0.8,0.6,0.6,0.4,0.1,-0.1
Gary Trent,86.2,5.5,4,3.3,3.1,3,2.3,1.7,0.4,0.1,NA,NA,NA
Shandon Anderson,86.0,4.9,4.2,3.9,2.7,2.1,2,1.7,1.2,0.5,0.4,NA,NA
Lamond Murray,85.6,4.9,4.1,3.3,2.3,2.1,1.3,1.2,0.9,0.3,-0.3,-0.3,NA
Nate Williams,85.3,4.5,4.3,4,2.9,2.8,2.5,1.9,0.4,NA,NA,NA,NA
