Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Richaun Holmes,,4.3,3.8,2.8,1.5
Paul Griffin,95.3,4.4,4.1,2.9,1.6
Bob Boozer,94.2,3.9,3.9,2.8,1.4
Patrick Patterson,94.2,4.1,3.8,2.4,1.6
Vladimir Radmanović,94.0,4.2,3.7,2.7,2.1
Phil Hubbard,93.2,4.5,3.4,2.6,1.6
Linas Kleiza,92.7,4.7,3.6,2.8,1.2
Kurt Rambis,92.6,4.3,4.1,2.3,1.5
Tom Abernethy,92.1,4.1,3.7,3.1,2
Danny Vranes,91.4,4.2,3.4,2.4,1.8
Chris Gatling,90.8,4.5,3.9,3.1,2
