Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Richaun Holmes,,4.3,3.8,2.8,1.5,NA,NA,NA
Tom Abernethy,89.6,4.1,3.7,3.1,2,0.4,NA,NA
Bill Garnett,86.9,3.9,3.5,2,1.5,NA,NA,NA
Eddie Griffin,86.8,3.9,3.2,2.4,1.5,-0.2,NA,NA
Reggie Johnson,86.3,3.9,3,2.4,1.6,NA,NA,NA
Walt Budko,86.2,5.6,4,2.7,1.5,NA,NA,NA
Collis Jones,85.8,4.2,3.2,2.1,1.2,NA,NA,NA
Marv Roberts,85.7,4.3,3.4,2.4,1.2,0.4,-0.2,NA
Dave Meyers,85.3,5,3.9,2.4,2.2,NA,NA,NA
Linas Kleiza,84.9,4.7,3.6,2.8,1.5,1.2,0.1,-0.3
Larry McNeill,84.0,4.4,4.3,2.3,1.5,0.7,0.1,NA
