,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,26,DAL,NBA,PG,10,370,95%,5%,,,,-6.0,-7.5,12,8,5,2,10,0,142,2,7
2001-02,27,DAL,NBA,PG,8,323,100%,,,,,+4.4,+26.7,18,11,8,0,7,0,158,1,1
2002-03,28,DAL,NBA,PG,20,729,100%,,,,,-1.1,-1.5,33,9,13,3,20,0,330,6,11
2003-04,29,DAL,NBA,PG,5,197,100%,,,,,-1.6,-11.9,9,3,5,0,2,0,97,0,1
2004-05,30,PHO,NBA,PG,15,610,91%,9%,,,,+4.4,-0.5,52,11,11,4,16,0,390,4,6
2005-06,31,PHO,NBA,PG,20,798,99%,2%,,,,+5.9,+20.3,40,20,14,3,25,7,459,7,12
2006-07,32,PHO,NBA,PG,11,413,100%,,,,,+6.7,+4.8,30,14,8,2,12,12,322,2,9
2007-08,33,PHO,NBA,PG,5,183,100%,,,,,-4.6,-7.0,6,5,6,1,2,3,84,0,2
2009-10,35,PHO,NBA,PG,16,539,91%,9%,,,,+5.8,+0.1,45,13,9,1,9,2,366,4,8
2012-13,38,LAL,NBA,PG,2,61,27%,74%,,,,-5.3,+21.9,3,0,1,0,2,0,21,1,1
Career,,,NBA,,112,4223,96%,4%,,,,+2.4,+4.8,248,94,80,16,105,24,2369,27,58
,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,PHO,NBA,,67,2543,96%,4%,,,,+4.9,+6.6,173,63,48,11,64,24,1621,17,37
4 seasons,,DAL,NBA,,43,1619,99%,1%,,,,-1.2,+1.5,72,31,31,5,39,0,727,9,20
1 season,,LAL,NBA,,2,61,27%,74%,,,,-5.3,+21.9,3,0,1,0,2,0,21,1,1
