Season,Team,Lg,Salary
1996-97,Phoenix Suns,NBA,"$916,000"
1997-98,Phoenix Suns,NBA,"$1,053,360"
1998-99,Dallas Mavericks,NBA,"$1,190,760"
1999-00,Dallas Mavericks,NBA,"$5,500,000"
2000-01,Dallas Mavericks,NBA,"$5,500,000"
2001-02,Dallas Mavericks,NBA,"$5,750,000"
2002-03,Dallas Mavericks,NBA,"$5,750,000"
2003-04,Dallas Mavericks,NBA,"$5,750,000"
2004-05,Phoenix Suns,NBA,"$8,750,000"
2005-06,Phoenix Suns,NBA,"$9,625,000"
2006-07,Phoenix Suns,NBA,"$10,500,000"
2007-08,Phoenix Suns,NBA,"$11,375,000"
2008-09,Phoenix Suns,NBA,"$12,250,000"
2009-10,Phoenix Suns,NBA,"$13,125,000"
2010-11,Phoenix Suns,NBA,"$10,310,938"
2011-12,Phoenix Suns,NBA,"$11,689,062"
2012-13,Los Angeles Lakers,NBA,"$8,900,000"
2013-14,Los Angeles Lakers,NBA,"$9,300,500"
2014-15,Los Angeles Lakers,NBA,"$9,701,000"
Career,(may be incomplete),,"$146,936,620"
