Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1968-69,22,MIL,NBA,C,77,1236,10.9,0.464,0.319,NA,NA,NA,6,NA,NA,NA,0.2,1,1.2,0.048,NA,NA,NA,NA,NA
1969-70,23,MIL,NBA,C,60,416,9.7,0.405,0.234,NA,NA,NA,7.8,NA,NA,NA,-0.5,0.5,0,0.001,NA,NA,NA,NA,NA
1970-71,24,MIL,NBA,C,76,675,11.7,0.455,0.303,NA,NA,18,7.2,NA,NA,NA,-0.1,1,1,0.068,NA,NA,NA,NA,NA
1971-72,25,HOU,NBA,C,63,720,10.8,0.433,0.305,NA,NA,15.3,9.7,NA,NA,NA,-0.3,1.3,1,0.068,NA,NA,NA,NA,NA
1972-73,26,MIL,NBA,C,72,692,9.1,0.441,0.321,NA,NA,14.6,5.7,NA,NA,NA,-0.2,1.2,1,0.071,NA,NA,NA,NA,NA
1973-74,27,MIL,NBA,C,8,45,6.1,0.33,1.167,2.4,31.7,18.1,0,2,2.3,NA,-0.1,0.1,0,-0.009,NA,-4.2,0.3,-3.9,0
1974-75,28,MIL,NBA,C,2,8,4.6,NA,NA,0,25.3,13.1,14.4,0,0,NA,0,0,0,0.092,NA,-4.5,0.1,-4.4,0
Career,NA,,NBA,,358,3792,10.5,0.444,0.307,2.1,30.8,16,7,1.7,1.9,NA,-1,5.3,4.2,0.054,NA,-4.3,0.3,-4,0
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,MIL,NBA,,295,3072,10.4,0.446,0.307,2.1,30.8,16.3,6.4,1.7,1.9,NA,-0.7,3.9,3.2,0.051,NA,-4.3,0.3,-4,0
1 season,NA,HOU,NBA,,63,720,10.8,0.433,0.305,NA,NA,15.3,9.7,NA,NA,NA,-0.3,1.3,1,0.068,NA,NA,NA,NA,NA
