,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,22,MIL,NBA,,7,,6,8,,,,,,,,16
1969-70,23,MIL,NBA,,5,,5,7,,,,,,,,10
1970-71,24,MIL,NBA,,7,,5,6,,,,,,,,14
1971-72,25,HOU,NBA,,7,,5,6,,,,,,,,14
1972-73,26,MIL,NBA,,7,,5,6,,,,,,,,19
1973-74,27,MIL,NBA,,2,4,0,3,,,4,0,,,2,4
1974-75,28,MIL,NBA,,0,0,0,0,,,1,1,,,1,0
Career,,,,,7,,6,8,,,,,,,,19
6 Seasons,,MIL,NBA,,7,,6,8,,,,,,,,19
1 Season,,HOU,NBA,,7,,5,6,,,,,,,,14
