Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Mark Blount,,6.5,2.8,2.8,1.9,1.7,1.7,0.7,0.7,-0.1
Ian Mahinmi,84.3,6.2,3.4,3.3,2.3,2.1,1.8,1.4,0.7,0.2
Chris Kaman,83.6,6.1,3.6,2.9,2.4,2.1,0.8,0.7,0.6,0
Zaid Abdul-Aziz,83.2,6.5,3.7,2,1.9,1.8,1,0.6,0.3,-0.3
Dale Schlueter,81.8,6.3,4.4,3,2,1.6,1.2,1.1,1.1,0.1
Mikki Moore,76.9,5.7,2.8,2.6,2.2,1,0.6,0.1,0.1,0.1
Felton Spencer,75.5,5.6,4.7,2.4,2,2,1.3,1.1,0.9,0.3
Randy Breuer,75.4,5.1,4.5,3,2.4,2,1.7,1,0.9,0.3
Kosta Koufos,74.8,6.5,3.5,3.5,3.3,2.7,2.6,1.3,0.2,0
Duane Causwell,74.6,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.5,0
Oliver Miller,74.5,5.3,3.8,3.4,3.1,1.8,1.6,1.4,0.9,0
