Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Todd Day,,4.8,3.2,2.6,2.5,2.1,1.9,0.3,0.1
Keith Bogans,90.7,4.9,3.6,2.6,2.5,2.3,1.7,1.3,0.1
Dell Curry,89.4,5,3.4,3.2,2.7,2,1.8,0.9,0.5
Carlos Arroyo,88.8,4.7,3.7,2.8,2.7,2.5,1.3,0.4,0.3
Danny Young,87.9,4.8,3,2.9,2.4,1.9,1.8,1.8,-0.1
Jim Price,87.6,5,3.7,2.7,2.6,2.4,1.8,1.5,NA
Tim Hardaway,86.8,4.8,3.1,2.6,1.9,1.8,0.8,NA,NA
Fred Jones,86.2,4.8,4,2.6,2.2,1.6,1.2,0,NA
Chico Vaughn,85.7,4.9,3.4,3.4,2.3,2.3,0.8,0.4,0.4
Herm Gilliam,85.3,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4
Lionel Hollins,85.3,5.2,4,3.4,2.9,2.3,1.8,0.6,0.1
