Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Todd Day,,4.8,3.2,2.6,2.5,2.1,1.9,0.3,0.1,NA,NA,NA
Jim Price,87.6,5,3.7,2.7,2.6,2.4,1.8,1.5,NA,NA,NA,NA
Tim Hardaway,86.8,4.8,3.1,2.6,1.9,1.8,0.8,NA,NA,NA,NA,NA
John Bagley,86.5,4.6,3,2.6,2.6,1.9,1.1,0.9,0.4,0,-0.2,-0.3
Fred Jones,86.2,4.8,4,2.6,2.2,1.6,1.2,0,NA,NA,NA,NA
Carlos Arroyo,85.7,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3,NA,NA
Keith Bogans,85.7,4.9,3.6,2.6,2.5,2.3,1.7,1.4,1.3,0.1,0.1,0
Chico Vaughn,85.7,4.9,3.4,3.4,2.3,2.3,0.8,0.4,0.4,NA,NA,NA
Herm Gilliam,85.3,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4,NA,NA,NA
Avery Bradley,84.9,4.8,3.1,2.5,2.4,1.8,0.4,0.3,-0.2,-0.5,NA,NA
Bob Hansen,84.6,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1,NA,NA
