Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Chuck Hayes,,6.4,6.3,4.4,3.6,2.4,1.6,1.5,1.4,0.6,0.5,0
Brandan Wright,88.7,6.1,5.1,4.1,3.5,1.9,1.6,1.3,1.1,0.8,0.7,NA
Adam Keefe,85.4,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,NA,NA
Jae Crowder,85.3,7.3,6.7,4.4,3.9,2.6,2.3,1.5,NA,NA,NA,NA
Kris Humphries,85.2,5.4,5.3,4.1,3.8,2.7,1.9,1.8,1.5,0.7,0.2,-0.3
George Lynch,84.6,6.5,5.8,3.9,3.5,2.6,2.5,2.5,1.7,1.5,0.9,0.7
Jay Vincent,84.4,6.5,6,5.6,3.4,2.8,1.9,1.1,0.5,-0.3,NA,NA
Dorell Wright,84.4,5.8,4.9,4.3,3.4,2.2,1.9,1.9,1.6,0.2,-0.1,-0.1
Jim Brewer,84.0,7.9,5.8,4.4,2.6,2.2,2,1.8,1.3,1.3,NA,NA
LaPhonso Ellis,83.2,8,7.6,5.2,3.6,2.2,1.9,1.4,1.1,1,0.8,0
Tracy Murray,83.0,6.5,4.9,4.4,3.8,2.2,0.8,0.6,0.5,0.5,0.3,-0.2
