Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Rickey Brown,,1.8,0.9,0.9,0.7,0.4
Walt Davis,90.4,1.6,0.9,0.9,0.8,0.6
Johan Petro,82.5,1.7,1,0.8,0.4,0.2
Ryan Hollins,81.1,1.8,1.2,1.1,1,0.2
Eric Leckner,79.4,1.7,1.5,0.9,0.9,0.2
John Lambert,77.2,1.8,1.5,1,0.9,0.7
Adonal Foyle,75.5,1.9,1.2,1.1,0.7,-0.1
Bill Wennington,75.3,1.3,1.2,0.9,0.5,0.4
Jerome James,72.2,1.2,0.9,0.8,0.7,-0.1
Cole Aldrich,71.8,2.2,1.2,0.6,0.6,0.2
Jelani McCoy,71.8,1.5,1.4,1.1,1,0.1
