Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Rickey Brown,,1.8,0.9,0.9,0.7,0.4,NA,NA,NA,NA,NA,NA,NA
Walt Davis,90.4,1.6,0.9,0.9,0.8,0.6,NA,NA,NA,NA,NA,NA,NA
Johan Petro,77.4,1.7,1,0.8,0.7,0.4,0.4,0.4,0.2,NA,NA,NA,NA
Jelani McCoy,71.2,1.5,1.4,1.1,1,0.1,0,0,0,NA,NA,NA,NA
Jawann Oldham,70.5,1.3,1.2,1,0.5,0.3,0,0,0,0,0,NA,NA
Dick Cunningham,70.3,1.2,1,1,1,0,0,0,NA,NA,NA,NA,NA
Melvin Ely,69.8,2,0.8,0.6,0.4,0.3,0.1,0,-0.1,-0.3,NA,NA,NA
Eric Leckner,69.5,1.7,1.5,0.9,0.9,0.9,0.2,0.2,-0.1,NA,NA,NA,NA
Jahlil Okafor,69.4,2.2,1.2,1.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA
Greg Kite,68.0,2,1.4,0.8,0.7,0.6,0.3,0.1,0.1,0.1,0,-0.1,-0.3
Luther Rackley,67.3,1.9,1.8,1.3,0.8,0.1,NA,NA,NA,NA,NA,NA,NA
